Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards,Season
363,Aaron Nesmith,22,BOS,SF,52,3,574,72,182,0.396,31,115,0.27,41,67,0.612,0.481,21,26,0.808,15,74,89,22,20,5,31,70,196,0,,2022
364,Trent Forrest,23,UTA,PG,60,6,765,76,155,0.49,5,27,0.185,71,128,0.555,0.506,38,48,0.792,23,76,99,106,30,6,48,43,195,0,,2022
365,Markelle Fultz,23,ORL,PG,18,3,360,83,175,0.474,4,17,0.235,79,158,0.5,0.486,25,31,0.806,4,45,49,99,20,5,40,22,195,0,,2022
366,Malachi Flynn,23,TOR,PG,44,5,537,72,183,0.393,30,90,0.333,42,93,0.452,0.475,15,24,0.625,10,53,63,70,20,4,13,45,189,0,,2022
367,Vit Krejci,21,OKC,SG,30,8,690,68,167,0.407,32,98,0.327,36,69,0.522,0.503,19,22,0.864,18,83,101,57,19,8,29,65,187,0,,2022
368,Tony Snell,30,2TM,SG,53,12,823,69,171,0.404,45,128,0.352,24,43,0.558,0.535,4,4,1.0,16,87,103,28,16,9,19,70,187,0,,2022
368,Tony Snell,30,POR,SG,38,10,546,36,97,0.371,24,75,0.32,12,22,0.545,0.495,3,3,1.0,11,61,72,20,8,7,11,44,99,0,,2022
368,Tony Snell,30,NOP,SG,15,2,277,33,74,0.446,21,53,0.396,12,21,0.571,0.588,1,1,1.0,5,26,31,8,8,2,8,26,88,0,,2022
369,Luka Garza,23,DET,C,32,5,389,66,147,0.449,16,49,0.327,50,98,0.51,0.503,38,61,0.623,58,42,100,20,9,6,18,55,186,0,,2022
370,Rajon Rondo,35,2TM,PG,39,1,697,68,176,0.386,31,88,0.352,37,88,0.42,0.474,19,26,0.731,15,93,108,170,30,6,68,56,186,0,,2022
370,Rajon Rondo,35,LAL,PG,18,0,289,23,71,0.324,8,30,0.267,15,41,0.366,0.38,1,2,0.5,10,39,49,67,12,5,34,25,55,0,,2022
370,Rajon Rondo,35,CLE,PG,21,1,408,45,105,0.429,23,58,0.397,22,47,0.468,0.538,18,24,0.75,5,54,59,103,18,1,34,31,131,0,,2022
371,Isaiah Thomas,32,3TM,PG,22,1,333,67,167,0.401,28,83,0.337,39,84,0.464,0.485,22,26,0.846,4,25,29,34,7,5,15,34,184,0,,2022
371,Isaiah Thomas,32,LAL,PG,4,1,101,12,39,0.308,5,22,0.227,7,17,0.412,0.372,8,11,0.727,1,7,8,6,0,2,5,12,37,0,,2022
371,Isaiah Thomas,32,DAL,PG,1,0,13,3,8,0.375,0,3,0.0,3,5,0.6,0.375,0,0,0.0,0,0,0,4,0,0,0,0,6,0,,2022
371,Isaiah Thomas,32,CHO,PG,17,0,219,52,120,0.433,23,58,0.397,29,62,0.468,0.529,14,15,0.933,3,18,21,24,7,3,10,22,141,0,,2022
372,Anthony Gill,29,WAS,PF,44,0,463,62,109,0.569,14,26,0.538,48,83,0.578,0.633,42,52,0.808,33,52,85,27,5,11,18,58,180,0,,2022
373,Keifer Sykes,28,IND,PG,32,11,566,69,190,0.363,27,90,0.3,42,100,0.42,0.434,15,17,0.882,8,37,45,62,12,4,33,51,180,0,,2022
374,Collin Sexton,23,CLE,SG,11,11,316,68,151,0.45,11,45,0.244,57,106,0.538,0.487,29,39,0.744,13,23,36,23,10,0,31,25,176,0,,2022
375,Thanasis Antetokounmpo,29,MIL,SF,48,6,473,70,128,0.547,2,14,0.143,68,114,0.596,0.555,29,46,0.63,40,61,101,22,16,12,26,68,171,0,,2022
376,Brandon Goodwin,26,CLE,PG,36,5,502,64,154,0.416,19,55,0.345,45,99,0.455,0.477,24,38,0.632,14,53,67,91,25,1,36,39,171,0,,2022
377,Kelan Martin,26,2TM,SF,30,1,450,70,171,0.409,22,75,0.293,48,96,0.5,0.474,9,13,0.692,17,38,55,21,13,9,14,36,171,0,,2022
377,Kelan Martin,26,IND,SF,27,1,444,70,168,0.417,22,74,0.297,48,94,0.511,0.482,9,13,0.692,16,37,53,21,13,9,14,36,171,0,,2022
377,Kelan Martin,26,BOS,SF,3,0,6,0,3,0.0,0,1,0.0,0,2,0.0,0.0,0,0,0.0,1,1,2,0,0,0,0,0,0,0,,2022
378,Moses Brown,22,2TM,C,40,6,345,64,108,0.593,0,0,0.0,64,108,0.593,0.593,43,72,0.597,39,96,135,1,7,16,20,53,171,0,,2022
378,Moses Brown,22,DAL,C,26,1,169,27,50,0.54,0,0,0.0,27,50,0.54,0.54,27,43,0.628,16,45,61,1,3,9,14,28,81,0,,2022
378,Moses Brown,22,CLE,C,14,5,176,37,58,0.638,0,0,0.0,37,58,0.638,0.638,16,29,0.552,23,51,74,0,4,7,6,25,90,0,,2022
379,Tony Bradley,24,CHI,C,55,7,549,72,123,0.585,0,0,0.0,72,123,0.585,0.585,19,29,0.655,67,119,186,27,10,33,34,62,163,0,,2022
380,Yuta Watanabe,27,TOR,SF,38,4,445,56,138,0.406,27,79,0.342,29,59,0.492,0.504,24,40,0.6,18,74,92,21,11,16,19,38,163,0,,2022
381,Rodney Hood,29,2TM,SF,52,0,709,58,157,0.369,30,91,0.33,28,66,0.424,0.465,17,19,0.895,15,62,77,38,15,6,11,31,163,0,,2022
381,Rodney Hood,29,MIL,PF,39,0,581,46,131,0.351,24,80,0.3,22,51,0.431,0.443,13,14,0.929,13,54,67,30,12,4,7,27,129,0,,2022
381,Rodney Hood,29,LAC,SF,13,0,128,12,26,0.462,6,11,0.545,6,15,0.4,0.577,4,5,0.8,2,8,10,8,3,2,4,4,34,0,,2022
382,Jared Butler,21,UTA,SG,42,1,360,61,151,0.404,28,88,0.318,33,63,0.524,0.497,11,16,0.688,5,40,45,63,17,8,33,47,161,0,,2022
383,Brook Lopez,33,MIL,C,13,11,298,61,131,0.466,19,53,0.358,42,78,0.538,0.538,20,23,0.87,19,34,53,6,8,15,12,34,161,0,,2022
384,Matt Thomas,27,CHI,SG,40,0,459,55,134,0.41,35,91,0.385,20,43,0.465,0.541,16,20,0.8,3,47,50,20,8,3,8,18,161,0,,2022
385,Sterling Brown,26,DAL,SG,49,3,628,59,155,0.381,28,92,0.304,31,63,0.492,0.471,14,15,0.933,26,123,149,34,14,7,23,56,160,0,,2022
386,Joe Harris,30,BRK,SF,14,14,423,56,124,0.452,41,88,0.466,15,36,0.417,0.617,5,6,0.833,5,51,56,14,7,2,16,31,158,0,,2022
387,Goran Dragić,35,2TM,PG,21,8,498,57,151,0.377,16,63,0.254,41,88,0.466,0.43,27,33,0.818,13,52,65,86,19,4,34,45,157,0,,2022
387,Goran Dragić,35,TOR,PG,5,2,90,13,34,0.382,4,14,0.286,9,20,0.45,0.441,10,10,1.0,2,12,14,9,5,1,1,8,40,0,,2022
387,Goran Dragić,35,BRK,PG,16,6,408,44,117,0.376,12,49,0.245,32,68,0.471,0.427,17,23,0.739,11,40,51,77,14,3,33,37,117,0,,2022
388,Marquese Chriss,24,DAL,PF,34,0,346,62,134,0.463,8,25,0.32,54,109,0.495,0.493,22,33,0.667,33,70,103,17,13,12,17,64,154,0,,2022
389,Gorgui Dieng,32,ATL,C,44,3,371,53,112,0.473,29,68,0.426,24,44,0.545,0.603,19,26,0.731,32,89,121,34,11,13,20,52,154,0,,2022
